a,b,c,d,e,f
player id,position,Rating,player id,position,Rating
Michael7,na,8,Sherman12,Def,5
Joeseph9,Def,7,Tom11,na,3
Max14,Off,5,Danny19,na,9
Ryan18,na,5,Marcus17,Def,4
Jonathan5,Def,9,Chris20,Def,3
Alex2,Off,3,Frank8,Off,9
John4,Off,4,Jessica10,Off,7
Score,,0,,,0
,,,,,
Game ID: ,1417,,,,
player id,position,Rating,player id,position,Rating
Marcus17,Def,4,Tom11,na,3
Karen13,Def,7,Vivien3,Off,8
Alex2,Off,3,Khoman 6,Def,6
Michael7,na,8,Danny19,na,9
Score,,0,,,2
,,,,,
Game ID: ,1418,,,,
player id,position,Rating,player id,position,Rating
Marcus17,Def,4,Tom11,na,3
Karen13,Def,7,Vivien3,Off,8
Alex2,Off,3,Khoman 6,Def,6
Michael7,na,8,Danny19,na,9
Score,,0,,,2
,,,,,
Game ID: ,1419,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Max14,Off,5
Chris20,Def,3,Joeseph9,Def,7
John4,Off,4,Sherman12,Def,5
Marcus17,Def,4,Jose15,Def,8
Vivien3,Off,8,Karen13,Def,7
Khoman 6,Def,6,Martin16,Off,6
Danny19,na,9,Frank8,Off,9
Alex2,Off,3,,,
Score,,0,,,1
,,,,,
Game ID: ,1420,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Max14,Off,5
Chris20,Def,3,Joeseph9,Def,7
John4,Off,4,Sherman12,Def,5
Marcus17,Def,4,Jose15,Def,8
Vivien3,Off,8,Karen13,Def,7
Khoman 6,Def,6,Martin16,Off,6
Danny19,na,9,Frank8,Off,9
Alex2,Off,3,,,
Score,,0,,,0
,,,,,
Game ID: ,1421,,,,
player id,position,Rating,player id,position,Rating
Vivien3,Off,8,Karen13,Def,7
Danny19,na,9,Khoman 6,Def,6
Ryan18,na,5,Max14,Off,5
Alex2,Off,3,Chris20,Def,3
Marcus17,Def,4,John4,Off,4
Jonathan5,Def,9,Frank8,Off,9
Score,,2,,,0
,,,,,
Game ID: ,1422,,,,
player id,position,Rating,player id,position,Rating
Vivien3,Off,8,Karen13,Def,7
Danny19,na,9,Khoman 6,Def,6
Ryan18,na,5,Max14,Off,5
Alex2,Off,3,Chris20,Def,3
Marcus17,Def,4,John4,Off,4
Jonathan5,Def,9,Frank8,Off,9
Score,,1,,,0
,,,,,
Game ID: ,1423,,,,
player id,position,Rating,player id,position,Rating
Sherman12,Def,5,Ryan18,na,5
Jessica10,Off,7,Khoman 6,Def,6
Chris20,Def,3,Jeffrey1,Off,7
Alex2,Off,3,Michael7,na,8
Score,,0,,,3
,,,,,
Game ID: ,1424,,,,
player id,position,Rating,player id,position,Rating
Sherman12,Def,5,Ryan18,na,5
Jessica10,Off,7,Khoman 6,Def,6
Chris20,Def,3,Jeffrey1,Off,7
Alex2,Off,3,Michael7,na,8
Score,,0,,,4
,,,,,
Game ID: ,1425,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Khoman 6,Def,6
John4,Off,4,Chris20,Def,3
Jessica10,Off,7,Tom11,na,3
Jose15,Def,8,Michael7,na,8
Jonathan5,Def,9,,,
Score,,6,,,0
,,,,,
Game ID: ,1426,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Khoman 6,Def,6
John4,Off,4,Chris20,Def,3
Jessica10,Off,7,Tom11,na,3
Jose15,Def,8,Michael7,na,8
Jonathan5,Def,9,,,
Score,,7,,,0
,,,,,
Game ID: ,1427,,,,
player id,position,Rating,player id,position,Rating
Max14,Off,5,Jose15,Def,8
Marcus17,Def,4,Joeseph9,Def,7
Sherman12,Def,5,John4,Off,4
Chris20,Def,3,Ryan18,na,5
Alex2,Off,3,Jessica10,Off,7
Jeffrey1,Off,7,Jonathan5,Def,9
Score,,0,,,4
,,,,,
Game ID: ,1428,,,,
player id,position,Rating,player id,position,Rating
Max14,Off,5,Jose15,Def,8
Marcus17,Def,4,Joeseph9,Def,7
Sherman12,Def,5,John4,Off,4
Chris20,Def,3,Ryan18,na,5
Alex2,Off,3,Jessica10,Off,7
Jeffrey1,Off,7,Jonathan5,Def,9
Score,,0,,,4
,,,,,
Game ID: ,1429,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Sherman12,Def,5
Alex2,Off,3,Vivien3,Off,8
Marcus17,Def,4,Ryan18,na,5
Jeffrey1,Off,7,Danny19,na,9
Michael7,na,8,Jose15,Def,8
Tom11,na,3,Karen13,Def,7
Jonathan5,Def,9,,,
Score,,0,,,2
,,,,,
Game ID: ,1430,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Sherman12,Def,5
Alex2,Off,3,Vivien3,Off,8
Marcus17,Def,4,Ryan18,na,5
Jeffrey1,Off,7,Danny19,na,9
Michael7,na,8,Jose15,Def,8
Tom11,na,3,Karen13,Def,7
Jonathan5,Def,9,,,
Score,,0,,,1
,,,,,
Game ID: ,1431,,,,
player id,position,Rating,player id,position,Rating
Karen13,Def,7,Alex2,Off,3
Jonathan5,Def,9,Max14,Off,5
John4,Off,4,Khoman 6,Def,6
Frank8,Off,9,Sherman12,Def,5
Score,,4,,,0
,,,,,
Game ID: ,1432,,,,
player id,position,Rating,player id,position,Rating
Karen13,Def,7,Alex2,Off,3
Jonathan5,Def,9,Max14,Off,5
John4,Off,4,Khoman 6,Def,6
Frank8,Off,9,Sherman12,Def,5
Score,,5,,,0
,,,,,
Game ID: ,1433,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Jessica10,Off,7
Marcus17,Def,4,Jose15,Def,8
Michael7,na,8,Ryan18,na,5
John4,Off,4,Frank8,Off,9
Chris20,Def,3,Khoman 6,Def,6
Alex2,Off,3,Danny19,na,9
Score,,0,,,4
,,,,,
Game ID: ,1434,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Jessica10,Off,7
Marcus17,Def,4,Jose15,Def,8
Michael7,na,8,Ryan18,na,5
John4,Off,4,Frank8,Off,9
Chris20,Def,3,Khoman 6,Def,6
Alex2,Off,3,Danny19,na,9
Score,,0,,,5
,,,,,
Game ID: ,1435,,,,
player id,position,Rating,player id,position,Rating
John4,Off,4,Chris20,Def,3
Jeffrey1,Off,7,Ryan18,na,5
Karen13,Def,7,Martin16,Off,6
Tom11,na,3,Max14,Off,5
Michael7,na,8,Jonathan5,Def,9
Sherman12,Def,5,Khoman 6,Def,6
Danny19,na,9,Alex2,Off,3
Joeseph9,Def,7,Vivien3,Off,8
Score,,0,,,0
,,,,,
Game ID: ,1436,,,,
player id,position,Rating,player id,position,Rating
John4,Off,4,Chris20,Def,3
Jeffrey1,Off,7,Ryan18,na,5
Karen13,Def,7,Martin16,Off,6
Tom11,na,3,Max14,Off,5
Michael7,na,8,Jonathan5,Def,9
Sherman12,Def,5,Khoman 6,Def,6
Danny19,na,9,Alex2,Off,3
Joeseph9,Def,7,Vivien3,Off,8
Score,,1,,,0
,,,,,
Game ID: ,1437,,,,
player id,position,Rating,player id,position,Rating
Ryan18,na,5,Chris20,Def,3
Karen13,Def,7,Jessica10,Off,7
Jonathan5,Def,9,Tom11,na,3
Vivien3,Off,8,John4,Off,4
Sherman12,Def,5,Max14,Off,5
Martin16,Off,6,Joeseph9,Def,7
Score,,5,,,0
,,,,,
Game ID: ,1438,,,,
player id,position,Rating,player id,position,Rating
Ryan18,na,5,Chris20,Def,3
Karen13,Def,7,Jessica10,Off,7
Jonathan5,Def,9,Tom11,na,3
Vivien3,Off,8,John4,Off,4
Sherman12,Def,5,Max14,Off,5
Martin16,Off,6,Joeseph9,Def,7
Score,,4,,,0
,,,,,
Game ID: ,1439,,,,
player id,position,Rating,player id,position,Rating
Chris20,Def,3,Marcus17,Def,4
Michael7,na,8,Ryan18,na,5
Jonathan5,Def,9,Danny19,na,9
Jessica10,Off,7,Alex2,Off,3
Vivien3,Off,8,Frank8,Off,9
Tom11,na,3,Joeseph9,Def,7
Score,,0,,,1
,,,,,
Game ID: ,1440,,,,
player id,position,Rating,player id,position,Rating
Chris20,Def,3,Marcus17,Def,4
Michael7,na,8,Ryan18,na,5
Jonathan5,Def,9,Danny19,na,9
Jessica10,Off,7,Alex2,Off,3
Vivien3,Off,8,Frank8,Off,9
Tom11,na,3,Joeseph9,Def,7
Score,,0,,,0
,,,,,
Game ID: ,1441,,,,
player id,position,Rating,player id,position,Rating
Marcus17,Def,4,Jeffrey1,Off,7
John4,Off,4,Sherman12,Def,5
Frank8,Off,9,Martin16,Off,6
Joeseph9,Def,7,Max14,Off,5
Vivien3,Off,8,Khoman 6,Def,6
Jose15,Def,8,Karen13,Def,7
Score,,2,,,0
,,,,,
Game ID: ,1442,,,,
player id,position,Rating,player id,position,Rating
Marcus17,Def,4,Jeffrey1,Off,7
John4,Off,4,Sherman12,Def,5
Frank8,Off,9,Martin16,Off,6
Joeseph9,Def,7,Max14,Off,5
Vivien3,Off,8,Khoman 6,Def,6
Jose15,Def,8,Karen13,Def,7
Score,,1,,,0
,,,,,
Game ID: ,1443,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,John4,Off,4
Alex2,Off,3,Danny19,na,9
Michael7,na,8,Sherman12,Def,5
Chris20,Def,3,Marcus17,Def,4
Jeffrey1,Off,7,Jessica10,Off,7
Khoman 6,Def,6,Frank8,Off,9
Karen13,Def,7,Joeseph9,Def,7
Score,,0,,,1
,,,,,
Game ID: ,1444,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,John4,Off,4
Alex2,Off,3,Danny19,na,9
Michael7,na,8,Sherman12,Def,5
Chris20,Def,3,Marcus17,Def,4
Jeffrey1,Off,7,Jessica10,Off,7
Khoman 6,Def,6,Frank8,Off,9
Karen13,Def,7,Joeseph9,Def,7
Score,,0,,,1
,,,,,
Game ID: ,1445,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Marcus17,Def,4
Martin16,Off,6,Max14,Off,5
Alex2,Off,3,John4,Off,4
Joeseph9,Def,7,Danny19,na,9
Sherman12,Def,5,Jonathan5,Def,9
Score,,1,,,0
,,,,,
Game ID: ,1446,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Marcus17,Def,4
Martin16,Off,6,Max14,Off,5
Alex2,Off,3,John4,Off,4
Joeseph9,Def,7,Danny19,na,9
Sherman12,Def,5,Jonathan5,Def,9
Score,,0,,,1
,,,,,
Game ID: ,1447,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Khoman 6,Def,6
Marcus17,Def,4,Danny19,na,9
Ryan18,na,5,John4,Off,4
Alex2,Off,3,Sherman12,Def,5
Joeseph9,Def,7,Chris20,Def,3
Michael7,na,8,,,
Score,,0,,,0
,,,,,
Game ID: ,1448,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Khoman 6,Def,6
Marcus17,Def,4,Danny19,na,9
Ryan18,na,5,John4,Off,4
Alex2,Off,3,Sherman12,Def,5
Joeseph9,Def,7,Chris20,Def,3
Michael7,na,8,,,
Score,,1,,,0
,,,,,
Game ID: ,1449,,,,
player id,position,Rating,player id,position,Rating
Ryan18,na,5,Michael7,na,8
Frank8,Off,9,Joeseph9,Def,7
Danny19,na,9,Chris20,Def,3
Vivien3,Off,8,Martin16,Off,6
Tom11,na,3,John4,Off,4
Khoman 6,Def,6,Jessica10,Off,7
Alex2,Off,3,Marcus17,Def,4
Sherman12,Def,5,,,
Score,,3,,,0
,,,,,
Game ID: ,1450,,,,
player id,position,Rating,player id,position,Rating
Ryan18,na,5,Michael7,na,8
Frank8,Off,9,Joeseph9,Def,7
Danny19,na,9,Chris20,Def,3
Vivien3,Off,8,Martin16,Off,6
Tom11,na,3,John4,Off,4
Khoman 6,Def,6,Jessica10,Off,7
Alex2,Off,3,Marcus17,Def,4
Sherman12,Def,5,,,
Score,,2,,,0
,,,,,
Game ID: ,1451,,,,
player id,position,Rating,player id,position,Rating
Jessica10,Off,7,Michael7,na,8
John4,Off,4,Ryan18,na,5
Sherman12,Def,5,Alex2,Off,3
Danny19,na,9,Jonathan5,Def,9
Chris20,Def,3,Tom11,na,3
Jeffrey1,Off,7,Vivien3,Off,8
Score,,0,,,0
,,,,,
Game ID: ,1452,,,,
player id,position,Rating,player id,position,Rating
Jessica10,Off,7,Michael7,na,8
John4,Off,4,Ryan18,na,5
Sherman12,Def,5,Alex2,Off,3
Danny19,na,9,Jonathan5,Def,9
Chris20,Def,3,Tom11,na,3
Jeffrey1,Off,7,Vivien3,Off,8
Score,,0,,,0
,,,,,
Game ID: ,1453,,,,
player id,position,Rating,player id,position,Rating
Marcus17,Def,4,Danny19,na,9
Joeseph9,Def,7,Tom11,na,3
Jeffrey1,Off,7,Sherman12,Def,5
Jessica10,Off,7,Jose15,Def,8
Chris20,Def,3,Michael7,na,8
Martin16,Off,6,Vivien3,Off,8
Khoman 6,Def,6,Frank8,Off,9
Max14,Off,5,Jonathan5,Def,9
Score,,0,,,3
,,,,,
Game ID: ,1454,,,,
player id,position,Rating,player id,position,Rating
Marcus17,Def,4,Danny19,na,9
Joeseph9,Def,7,Tom11,na,3
Jeffrey1,Off,7,Sherman12,Def,5
Jessica10,Off,7,Jose15,Def,8
Chris20,Def,3,Michael7,na,8
Martin16,Off,6,Vivien3,Off,8
Khoman 6,Def,6,Frank8,Off,9
Max14,Off,5,Jonathan5,Def,9
Score,,0,,,4
,,,,,
Game ID: ,1455,,,,
player id,position,Rating,player id,position,Rating
Jessica10,Off,7,Danny19,na,9
Frank8,Off,9,Michael7,na,8
Joeseph9,Def,7,Martin16,Off,6
Chris20,Def,3,Sherman12,Def,5
Marcus17,Def,4,Vivien3,Off,8
Jeffrey1,Off,7,Ryan18,na,5
Alex2,Off,3,,,
Score,,0,,,0
,,,,,
Game ID: ,1456,,,,
player id,position,Rating,player id,position,Rating
Jessica10,Off,7,Danny19,na,9
Frank8,Off,9,Michael7,na,8
Joeseph9,Def,7,Martin16,Off,6
Chris20,Def,3,Sherman12,Def,5
Marcus17,Def,4,Vivien3,Off,8
Jeffrey1,Off,7,Ryan18,na,5
Alex2,Off,3,,,
Score,,0,,,0
,,,,,
Game ID: ,1457,,,,
player id,position,Rating,player id,position,Rating
Marcus17,Def,4,Danny19,na,9
Jessica10,Off,7,Khoman 6,Def,6
Martin16,Off,6,Vivien3,Off,8
Tom11,na,3,Karen13,Def,7
Frank8,Off,9,Jeffrey1,Off,7
Jose15,Def,8,Max14,Off,5
Score,,0,,,0
,,,,,
Game ID: ,1458,,,,
player id,position,Rating,player id,position,Rating
Marcus17,Def,4,Danny19,na,9
Jessica10,Off,7,Khoman 6,Def,6
Martin16,Off,6,Vivien3,Off,8
Tom11,na,3,Karen13,Def,7
Frank8,Off,9,Jeffrey1,Off,7
Jose15,Def,8,Max14,Off,5
Score,,0,,,1
,,,,,
Game ID: ,1459,,,,
player id,position,Rating,player id,position,Rating
Vivien3,Off,8,Khoman 6,Def,6
Jose15,Def,8,Alex2,Off,3
Karen13,Def,7,John4,Off,4
Danny19,na,9,Joeseph9,Def,7
Frank8,Off,9,Ryan18,na,5
Martin16,Off,6,Marcus17,Def,4
Jeffrey1,Off,7,Jessica10,Off,7
Sherman12,Def,5,Max14,Off,5
Score,,4,,,0
,,,,,
Game ID: ,1460,,,,
player id,position,Rating,player id,position,Rating
Vivien3,Off,8,Khoman 6,Def,6
Jose15,Def,8,Alex2,Off,3
Karen13,Def,7,John4,Off,4
Danny19,na,9,Joeseph9,Def,7
Frank8,Off,9,Ryan18,na,5
Martin16,Off,6,Marcus17,Def,4
Jeffrey1,Off,7,Jessica10,Off,7
Sherman12,Def,5,Max14,Off,5
Score,,5,,,0
,,,,,
Game ID: ,1461,,,,
player id,position,Rating,player id,position,Rating
Jose15,Def,8,Marcus17,Def,4
Michael7,na,8,Frank8,Off,9
Ryan18,na,5,Jonathan5,Def,9
Karen13,Def,7,Max14,Off,5
Jeffrey1,Off,7,Joeseph9,Def,7
Score,,0,,,1
,,,,,
Game ID: ,1462,,,,
player id,position,Rating,player id,position,Rating
Jose15,Def,8,Marcus17,Def,4
Michael7,na,8,Frank8,Off,9
Ryan18,na,5,Jonathan5,Def,9
Karen13,Def,7,Max14,Off,5
Jeffrey1,Off,7,Joeseph9,Def,7
Score,,0,,,0
,,,,,
Game ID: ,1463,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Joeseph9,Def,7
Ryan18,na,5,Sherman12,Def,5
John4,Off,4,Khoman 6,Def,6
Danny19,na,9,Martin16,Off,6
Chris20,Def,3,Jessica10,Off,7
Jonathan5,Def,9,Jeffrey1,Off,7
Vivien3,Off,8,Karen13,Def,7
Score,,2,,,0
,,,,,
Game ID: ,1464,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Joeseph9,Def,7
Ryan18,na,5,Sherman12,Def,5
John4,Off,4,Khoman 6,Def,6
Danny19,na,9,Martin16,Off,6
Chris20,Def,3,Jessica10,Off,7
Jonathan5,Def,9,Jeffrey1,Off,7
Vivien3,Off,8,Karen13,Def,7
Score,,1,,,0
,,,,,
Game ID: ,1465,,,,
player id,position,Rating,player id,position,Rating
Alex2,Off,3,Karen13,Def,7
Tom11,na,3,Ryan18,na,5
Jessica10,Off,7,Frank8,Off,9
Jeffrey1,Off,7,John4,Off,4
Marcus17,Def,4,Khoman 6,Def,6
Max14,Off,5,Danny19,na,9
Jose15,Def,8,Chris20,Def,3
Sherman12,Def,5,Michael7,na,8
Score,,0,,,0
,,,,,
Game ID: ,1466,,,,
player id,position,Rating,player id,position,Rating
Alex2,Off,3,Karen13,Def,7
Tom11,na,3,Ryan18,na,5
Jessica10,Off,7,Frank8,Off,9
Jeffrey1,Off,7,John4,Off,4
Marcus17,Def,4,Khoman 6,Def,6
Max14,Off,5,Danny19,na,9
Jose15,Def,8,Chris20,Def,3
Sherman12,Def,5,Michael7,na,8
Score,,0,,,2
,,,,,
Game ID: ,1467,,,,
player id,position,Rating,player id,position,Rating
Vivien3,Off,8,Jonathan5,Def,9
Sherman12,Def,5,Karen13,Def,7
John4,Off,4,Martin16,Off,6
Marcus17,Def,4,Michael7,na,8
Score,,0,,,3
,,,,,
Game ID: ,1468,,,,
player id,position,Rating,player id,position,Rating
Vivien3,Off,8,Jonathan5,Def,9
Sherman12,Def,5,Karen13,Def,7
John4,Off,4,Martin16,Off,6
Marcus17,Def,4,Michael7,na,8
Score,,0,,,5
,,,,,
Game ID: ,1469,,,,
player id,position,Rating,player id,position,Rating
Jonathan5,Def,9,Alex2,Off,3
Jeffrey1,Off,7,Chris20,Def,3
Tom11,na,3,Khoman 6,Def,6
Karen13,Def,7,Max14,Off,5
Marcus17,Def,4,Sherman12,Def,5
Ryan18,na,5,Martin16,Off,6
Frank8,Off,9,Danny19,na,9
Vivien3,Off,8,Jessica10,Off,7
Score,,2,,,0
,,,,,
Game ID: ,1470,,,,
player id,position,Rating,player id,position,Rating
Jonathan5,Def,9,Alex2,Off,3
Jeffrey1,Off,7,Chris20,Def,3
Tom11,na,3,Khoman 6,Def,6
Karen13,Def,7,Max14,Off,5
Marcus17,Def,4,Sherman12,Def,5
Ryan18,na,5,Martin16,Off,6
Frank8,Off,9,Danny19,na,9
Vivien3,Off,8,Jessica10,Off,7
Score,,2,,,0
,,,,,
Game ID: ,1471,,,,
player id,position,Rating,player id,position,Rating
Sherman12,Def,5,Joeseph9,Def,7
Frank8,Off,9,Jessica10,Off,7
Ryan18,na,5,Alex2,Off,3
Vivien3,Off,8,Danny19,na,9
Score,,0,,,1
,,,,,
Game ID: ,1472,,,,
player id,position,Rating,player id,position,Rating
Sherman12,Def,5,Joeseph9,Def,7
Frank8,Off,9,Jessica10,Off,7
Ryan18,na,5,Alex2,Off,3
Vivien3,Off,8,Danny19,na,9
Score,,0,,,0
,,,,,
Game ID: ,1473,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Jose15,Def,8
Max14,Off,5,Michael7,na,8
Danny19,na,9,Alex2,Off,3
Joeseph9,Def,7,Marcus17,Def,4
Jonathan5,Def,9,Chris20,Def,3
Jeffrey1,Off,7,Vivien3,Off,8
Karen13,Def,7,John4,Off,4
Ryan18,na,5,,,
Score,,2,,,0
,,,,,
Game ID: ,1474,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Jose15,Def,8
Max14,Off,5,Michael7,na,8
Danny19,na,9,Alex2,Off,3
Joeseph9,Def,7,Marcus17,Def,4
Jonathan5,Def,9,Chris20,Def,3
Jeffrey1,Off,7,Vivien3,Off,8
Karen13,Def,7,John4,Off,4
Ryan18,na,5,,,
Score,,4,,,0
,,,,,
Game ID: ,1475,,,,
player id,position,Rating,player id,position,Rating
Karen13,Def,7,Danny19,na,9
Alex2,Off,3,Jose15,Def,8
Joeseph9,Def,7,Khoman 6,Def,6
Michael7,na,8,Max14,Off,5
Tom11,na,3,Jessica10,Off,7
Score,,0,,,1
,,,,,
Game ID: ,1476,,,,
player id,position,Rating,player id,position,Rating
Karen13,Def,7,Danny19,na,9
Alex2,Off,3,Jose15,Def,8
Joeseph9,Def,7,Khoman 6,Def,6
Michael7,na,8,Max14,Off,5
Tom11,na,3,Jessica10,Off,7
Score,,0,,,3
,,,,,
Game ID: ,1477,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Jose15,Def,8
Max14,Off,5,Jeffrey1,Off,7
Martin16,Off,6,Karen13,Def,7
Alex2,Off,3,Tom11,na,3
Marcus17,Def,4,Vivien3,Off,8
Jonathan5,Def,9,John4,Off,4
Khoman 6,Def,6,Chris20,Def,3
Ryan18,na,5,Michael7,na,8
Score,,0,,,0
,,,,,
Game ID: ,1478,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Jose15,Def,8
Max14,Off,5,Jeffrey1,Off,7
Martin16,Off,6,Karen13,Def,7
Alex2,Off,3,Tom11,na,3
Marcus17,Def,4,Vivien3,Off,8
Jonathan5,Def,9,John4,Off,4
Khoman 6,Def,6,Chris20,Def,3
Ryan18,na,5,Michael7,na,8
Score,,0,,,0
,,,,,
Game ID: ,1479,,,,
player id,position,Rating,player id,position,Rating
Jessica10,Off,7,Marcus17,Def,4
Jonathan5,Def,9,Ryan18,na,5
Max14,Off,5,Karen13,Def,7
John4,Off,4,Danny19,na,9
Jose15,Def,8,Martin16,Off,6
Sherman12,Def,5,,,
Score,,2,,,0
,,,,,
Game ID: ,1480,,,,
player id,position,Rating,player id,position,Rating
Jessica10,Off,7,Marcus17,Def,4
Jonathan5,Def,9,Ryan18,na,5
Max14,Off,5,Karen13,Def,7
John4,Off,4,Danny19,na,9
Jose15,Def,8,Martin16,Off,6
Sherman12,Def,5,,,
Score,,2,,,0
,,,,,
Game ID: ,1481,,,,
player id,position,Rating,player id,position,Rating
Marcus17,Def,4,Joeseph9,Def,7
Martin16,Off,6,Danny19,na,9
Michael7,na,8,Alex2,Off,3
Vivien3,Off,8,John4,Off,4
Jonathan5,Def,9,Ryan18,na,5
Khoman 6,Def,6,Tom11,na,3
Score,,3,,,0
,,,,,
Game ID: ,1482,,,,
player id,position,Rating,player id,position,Rating
Marcus17,Def,4,Joeseph9,Def,7
Martin16,Off,6,Danny19,na,9
Michael7,na,8,Alex2,Off,3
Vivien3,Off,8,John4,Off,4
Jonathan5,Def,9,Ryan18,na,5
Khoman 6,Def,6,Tom11,na,3
Score,,3,,,0
,,,,,
Game ID: ,1483,,,,
player id,position,Rating,player id,position,Rating
Chris20,Def,3,Jessica10,Off,7
Alex2,Off,3,Karen13,Def,7
Martin16,Off,6,Joeseph9,Def,7
Max14,Off,5,Vivien3,Off,8
Michael7,na,8,John4,Off,4
Jonathan5,Def,9,Sherman12,Def,5
Score,,0,,,1
,,,,,
Game ID: ,1484,,,,
player id,position,Rating,player id,position,Rating
Chris20,Def,3,Jessica10,Off,7
Alex2,Off,3,Karen13,Def,7
Martin16,Off,6,Joeseph9,Def,7
Max14,Off,5,Vivien3,Off,8
Michael7,na,8,John4,Off,4
Jonathan5,Def,9,Sherman12,Def,5
Score,,0,,,1
,,,,,
Game ID: ,1485,,,,
player id,position,Rating,player id,position,Rating
John4,Off,4,Max14,Off,5
Karen13,Def,7,Chris20,Def,3
Vivien3,Off,8,Jessica10,Off,7
Martin16,Off,6,Jonathan5,Def,9
Ryan18,na,5,Sherman12,Def,5
Khoman 6,Def,6,Alex2,Off,3
Danny19,na,9,Marcus17,Def,4
Joeseph9,Def,7,Tom11,na,3
Score,,2,,,0
,,,,,
Game ID: ,1486,,,,
player id,position,Rating,player id,position,Rating
John4,Off,4,Max14,Off,5
Karen13,Def,7,Chris20,Def,3
Vivien3,Off,8,Jessica10,Off,7
Martin16,Off,6,Jonathan5,Def,9
Ryan18,na,5,Sherman12,Def,5
Khoman 6,Def,6,Alex2,Off,3
Danny19,na,9,Marcus17,Def,4
Joeseph9,Def,7,Tom11,na,3
Score,,3,,,0
,,,,,
Game ID: ,1487,,,,
player id,position,Rating,player id,position,Rating
Jose15,Def,8,Ryan18,na,5
Alex2,Off,3,Danny19,na,9
Max14,Off,5,Vivien3,Off,8
Khoman 6,Def,6,Chris20,Def,3
Score,,0,,,1
,,,,,
Game ID: ,1488,,,,
player id,position,Rating,player id,position,Rating
Jose15,Def,8,Ryan18,na,5
Alex2,Off,3,Danny19,na,9
Max14,Off,5,Vivien3,Off,8
Khoman 6,Def,6,Chris20,Def,3
Score,,0,,,2
,,,,,
Game ID: ,1489,,,,
player id,position,Rating,player id,position,Rating
Jose15,Def,8,Jonathan5,Def,9
Max14,Off,5,Vivien3,Off,8
Frank8,Off,9,Jessica10,Off,7
Martin16,Off,6,Michael7,na,8
Khoman 6,Def,6,Karen13,Def,7
Sherman12,Def,5,Ryan18,na,5
Jeffrey1,Off,7,Alex2,Off,3
Score,,0,,,1
,,,,,
Game ID: ,1490,,,,
player id,position,Rating,player id,position,Rating
Jose15,Def,8,Jonathan5,Def,9
Max14,Off,5,Vivien3,Off,8
Frank8,Off,9,Jessica10,Off,7
Martin16,Off,6,Michael7,na,8
Khoman 6,Def,6,Karen13,Def,7
Sherman12,Def,5,Ryan18,na,5
Jeffrey1,Off,7,Alex2,Off,3
Score,,0,,,0
,,,,,
Game ID: ,1491,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Karen13,Def,7
Jose15,Def,8,Jeffrey1,Off,7
John4,Off,4,Chris20,Def,3
Danny19,na,9,Vivien3,Off,8
Score,,0,,,1
,,,,,
Game ID: ,1492,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Karen13,Def,7
Jose15,Def,8,Jeffrey1,Off,7
John4,Off,4,Chris20,Def,3
Danny19,na,9,Vivien3,Off,8
Score,,0,,,0
,,,,,
Game ID: ,1493,,,,
player id,position,Rating,player id,position,Rating
Marcus17,Def,4,Karen13,Def,7
Jose15,Def,8,Danny19,na,9
Frank8,Off,9,Tom11,na,3
Alex2,Off,3,Vivien3,Off,8
Michael7,na,8,,,
Score,,3,,,0
,,,,,
Game ID: ,1494,,,,
player id,position,Rating,player id,position,Rating
Marcus17,Def,4,Karen13,Def,7
Jose15,Def,8,Danny19,na,9
Frank8,Off,9,Tom11,na,3
Alex2,Off,3,Vivien3,Off,8
Michael7,na,8,,,
Score,,2,,,0
,,,,,
Game ID: ,1495,,,,
player id,position,Rating,player id,position,Rating
Max14,Off,5,Joeseph9,Def,7
Marcus17,Def,4,Jose15,Def,8
Frank8,Off,9,Ryan18,na,5
Sherman12,Def,5,Jessica10,Off,7
Score,,0,,,0
,,,,,
Game ID: ,1496,,,,
player id,position,Rating,player id,position,Rating
Max14,Off,5,Joeseph9,Def,7
Marcus17,Def,4,Jose15,Def,8
Frank8,Off,9,Ryan18,na,5
Sherman12,Def,5,Jessica10,Off,7
Score,,0,,,2
,,,,,
Game ID: ,1497,,,,
player id,position,Rating,player id,position,Rating
